word_id,label,person_id,angle,src_path,cropped_path,segment_start,segment_end
0039,변비,01,D,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0039_REAL01_D.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0039_변비/P01/NIA_SL_WORD0039_REAL01_D.mp4,2.122,3.847
0187,간호사,01,F,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0187_REAL01_F.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0187_간호사/P01/NIA_SL_WORD0187_REAL01_F.mp4,1.51,3.329
0885,치료제,01,L,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0885_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0885_치료제/P01/NIA_SL_WORD0885_REAL01_L.mp4,1.149,3.163
0039,변비,01,R,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0039_REAL01_R.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0039_변비/P01/NIA_SL_WORD0039_REAL01_R.mp4,2.122,3.847
1496,병원,01,L,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD1496_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD1496_병원/P01/NIA_SL_WORD1496_REAL01_L.mp4,1.679,2.58
0187,간호사,01,R,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0187_REAL01_R.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0187_간호사/P01/NIA_SL_WORD0187_REAL01_R.mp4,1.51,3.329
0400,정밀검사,01,L,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0400_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0400_정밀검사/P01/NIA_SL_WORD0400_REAL01_L.mp4,0.95,2.94
0187,간호사,01,D,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0187_REAL01_D.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0187_간호사/P01/NIA_SL_WORD0187_REAL01_D.mp4,1.51,3.329
0572,환자실,01,U,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0572_REAL01_U.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0572_환자실/P01/NIA_SL_WORD0572_REAL01_U.mp4,1.391,3.621
0039,변비,01,F,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0039_REAL01_F.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0039_변비/P01/NIA_SL_WORD0039_REAL01_F.mp4,2.122,3.847
1115,건강,01,L,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD1115_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD1115_건강/P01/NIA_SL_WORD1115_REAL01_L.mp4,1.108,2.237
0029,검사,01,L,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0029_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0029_검사/P01/NIA_SL_WORD0029_REAL01_L.mp4,1.055,2.793
0039,변비,01,U,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0039_REAL01_U.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0039_변비/P01/NIA_SL_WORD0039_REAL01_U.mp4,2.122,3.847
0572,환자실,01,F,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0572_REAL01_F.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0572_환자실/P01/NIA_SL_WORD0572_REAL01_F.mp4,1.391,3.621
0572,환자실,01,R,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0572_REAL01_R.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0572_환자실/P01/NIA_SL_WORD0572_REAL01_R.mp4,1.391,3.621
0187,간호사,01,U,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0187_REAL01_U.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0187_간호사/P01/NIA_SL_WORD0187_REAL01_U.mp4,1.51,3.329
0572,환자실,01,D,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0572_REAL01_D.mp4,/content/drive/MyDrive/preprocessing/cropped_videos/WORD0572_환자실/P01/NIA_SL_WORD0572_REAL01_D.mp4,1.391,3.621
