person_folder,person_id,word_id,angle,filename,path,segment_start,segment_end,label
P01,01,0039,D,NIA_SL_WORD0039_REAL01_D.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0039_REAL01_D.mp4,2.122,3.847,변비
P01,01,0187,F,NIA_SL_WORD0187_REAL01_F.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0187_REAL01_F.mp4,1.51,3.329,간호사
P01,01,0885,L,NIA_SL_WORD0885_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0885_REAL01_L.mp4,1.149,3.163,치료제
P01,01,0039,R,NIA_SL_WORD0039_REAL01_R.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0039_REAL01_R.mp4,2.122,3.847,변비
P01,01,1496,L,NIA_SL_WORD1496_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD1496_REAL01_L.mp4,1.679,2.58,병원
P01,01,0187,R,NIA_SL_WORD0187_REAL01_R.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0187_REAL01_R.mp4,1.51,3.329,간호사
P01,01,0400,L,NIA_SL_WORD0400_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0400_REAL01_L.mp4,0.95,2.94,정밀검사
P01,01,0187,D,NIA_SL_WORD0187_REAL01_D.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0187_REAL01_D.mp4,1.51,3.329,간호사
P01,01,0572,U,NIA_SL_WORD0572_REAL01_U.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0572_REAL01_U.mp4,1.391,3.621,환자실
P01,01,0039,F,NIA_SL_WORD0039_REAL01_F.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0039_REAL01_F.mp4,2.122,3.847,변비
P01,01,1115,L,NIA_SL_WORD1115_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD1115_REAL01_L.mp4,1.108,2.237,건강
P01,01,0029,L,NIA_SL_WORD0029_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0029_REAL01_L.mp4,1.055,2.793,검사
P01,01,0039,U,NIA_SL_WORD0039_REAL01_U.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0039_REAL01_U.mp4,2.122,3.847,변비
P01,01,0572,F,NIA_SL_WORD0572_REAL01_F.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0572_REAL01_F.mp4,1.391,3.621,환자실
P01,01,0572,R,NIA_SL_WORD0572_REAL01_R.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0572_REAL01_R.mp4,1.391,3.621,환자실
P01,01,0187,U,NIA_SL_WORD0187_REAL01_U.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0187_REAL01_U.mp4,1.51,3.329,간호사
P01,01,0572,D,NIA_SL_WORD0572_REAL01_D.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0572_REAL01_D.mp4,1.391,3.621,환자실
P01,01,0040,L,NIA_SL_WORD0040_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0040_REAL01_L.mp4,1.187,2.808,병명
P01,01,0042,U,NIA_SL_WORD0042_REAL01_U.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0042_REAL01_U.mp4,1.34,3.586,불면증
P01,01,0036,L,NIA_SL_WORD0036_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0036_REAL01_L.mp4,1.616,3.315,면역
P01,01,0064,L,NIA_SL_WORD0064_REAL01_L.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0064_REAL01_L.mp4,1.429,3.193,치료
P01,01,0033,U,NIA_SL_WORD0033_REAL01_U.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0033_REAL01_U.mp4,2.373,4.57,당뇨병
P01,01,0033,F,NIA_SL_WORD0033_REAL01_F.mp4,/content/drive/MyDrive/preprocessing/raw_videos/P01/sign_medical_videos_02/NIA_SL_WORD0033_REAL01_F.mp4,2.373,4.57,당뇨병
