seq_id,person_id,word_code,label_idx,view,frames_img,tensor_path
p1_WORD0029_검사_NIA_SL_WORD0029_REAL01_D,1,WORD0029,0,D,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_D_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00000.pt
p1_WORD0029_검사_NIA_SL_WORD0029_REAL01_F,1,WORD0029,0,F,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_F_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00001.pt
p1_WORD0029_검사_NIA_SL_WORD0029_REAL01_L,1,WORD0029,0,L,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_L_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00002.pt
p1_WORD0029_검사_NIA_SL_WORD0029_REAL01_R,1,WORD0029,0,R,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_R_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00003.pt
p1_WORD0029_검사_NIA_SL_WORD0029_REAL01_U,1,WORD0029,0,U,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0029_검사_NIA_SL_WORD0029_REAL01_U_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00004.pt
p1_WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D,1,WORD0033,1,D,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_D_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00005.pt
p1_WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F,1,WORD0033,1,F,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_F_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00006.pt
p1_WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L,1,WORD0033,1,L,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_L_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00007.pt
p1_WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R,1,WORD0033,1,R,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_R_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00008.pt
p1_WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U,1,WORD0033,1,U,"['/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s00.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s01.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s02.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s03.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s04.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s05.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s06.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s07.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s08.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s09.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s10.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s11.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s12.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s13.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s14.png', '/content/drive/MyDrive/preprocessing/Holistic_hands_frames/1/WORD0033_당뇨병_NIA_SL_WORD0033_REAL01_U_s15.png']",/content/drive/MyDrive/preprocessing/Hand_tensors/seq_00009.pt
